web-scraper-order,web-scraper-start-url,text,film
"1579873300-74","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Goblet of Fire"
"1579873300-89","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""I mean, it's sort of exciting, isn't it, breaking the rules?"" — Hermione Granger, Harry Potter and the Order of the Phoenix",""
"1579873300-84","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Order of the Phoenix"
"1579873300-106","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-102","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-66","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Prisoner of Azkaban"
"1579873300-76","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Order of the Phoenix"
"1579873300-47","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“To the well-organized mind, death is but the next great adventure.” ― Albus Dumbledore, Harry Potter and the Sorcerer's Stone",""
"1579873300-119","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?” ― Albus Dumbledore, Harry Potter and the Deathly Hallows",""
"1579873300-90","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Order of the Phoenix"
"1579873300-59","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""It is our choices, Harry, that show what we truly are, far more than our abilities.” — Albus Dumbledore, Harry Potter and the Chamber of Secrets",""
"1579873300-95","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“And now, Harry, let us step out into the night and pursue that flighty temptress, adventure.” — Albus Dumbledore, Harry Potter and the Half-Blood Prince",""
"1579873300-64","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Prisoner of Azkaban"
"1579873300-85","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""Just because you have the emotional range of a teaspoon doesn't mean we all have.” ― Hermione Granger, Harry Potter and the Order of the Phoenix",""
"1579873300-77","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“Give her hell from us, Peeves.' And Peeves, whom Harry had never seen take an order from a student before, swept his belled hat from his head and sprang to a salute as Fred and George wheeled about to tumultuous applause from the students below and sped out of the open front doors into the glorious sunset."" ― Harry Potter and the Order of the Phoenix",""
"1579873300-100","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-41","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“Mr. and Mrs. Dursley of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.” ― Harry Potter and the Sorcerer's Stone",""
